Name;Sum GoogleTrends
Erin McLeod;38
Emily Zurrer;0
Kadeisha Buchanan;11
Carmelina Moscato;2
Robyn Gayle;2
Kaylyn Kyle;41
Rhian Wilkinson;6
Diana Matheson;17
Josée Bélanger;2
Lauren Sesselmann;70
Desiree Scott;24
Christine Sinclair;157
Sophie Schmidt;61
Melissa Tancredi;9
Allysha Chapman;2
Jonelle Filigno;22
Jessie Fleming;49
Selenia Iacchelli;0
Adriana Leon;115
Marie-Ève Nault;0
Stephanie Labbé;5
Ashley Lawrence;217
Karina LeBlanc;34
Zhang Yue;787
Liu Shanshan;101
Pang Fengyue;0
Li Jiayue;0
Wu Haiyan;0
Li Dongna;0
Xu Yanlu;0
Ma Jun;1209
Wang Shanshan;95
Li Ying;1166
Wang Shuang;379
Wang Fei;1098
Tang Jiali;0
Zhao Rong;370
Lei Jiahui;0
Lou Jiahui;0
Gu Yasha;0
Han Peng;407
Tan Ruyin;0
Zhang Rui;928
Wang Lisi;0
Zhao Lina;800
Ren Guixin;52
Loes Geurts;4
Desiree van Lunteren;35
Stefanie van der Gragt;38
Mandy van den Berg;53
Petra Hogewoning;0
Anouk Dekker;17
Manon Melis;0
Sherida Spitse;53
Vivianne Miedema;78
Daniëlle van de Donk;11
Lieke Martens;319
Dyanne Bito;3
Dominique Janssen;9
Anouk Hoogendijk;313
Merel van Dongen;19
Sari van Veenendaal;18
Tessel Middag;106
Maran van Erp;3
Kirsten van de Ven;3
Jill Roord;62
Vanity Lewerissa;6
Shanice van de Sanden;55
Angela Christ;21
Erin Nayler;3
Ria Percival;0
Anna Green;132
Katie Hoyle;3
Abby Erceg;5
Rebekah Stott;1
Ali Riley;22
Jasmine Pereira;1
Amber Hearn;3
Sarah Gregorius;0
Kirsty Yallop;1
Betsy Hassett;0
Rosie White;62
Katie Bowen;12
Meikayla Moore;0
Annalie Longo;0
Hannah Wilkinson;5
Catherine Bott;2
Evie Millynn;0
Daisy Cleverley;0
Rebecca Rolls;6
Emma Kete;0
Cushla Lichtwark;0
Nadine Angerer;0
Bianca Schmidt;0
Saskia Bartusiak;0
Leonie Maier;0
Annike Krahn;0
Simone Laudehr;0
Melanie Behringer;0
Pauline Bremer;0
Lena Lotzen;0
Dzsenifer Marozsán;0
Anja Mittag;0
Almuth Schult;0
Célia Šašić;0
Babett Peter;0
Jennifer Cramer;0
Melanie Leupolz;0
Josephine Henning;1
Alexandra Popp;0
Lena Petermann;0
Lena Goeßling;0
Laura Benkarth;0
Tabea Kemme;1
Sara Däbritz;0
Lydie Saki;0
Fatou Coulibaly;11
Djelika Coulibaly;0
Nina Kpaho;0
Mariam Diakité;0
Rita Akaffou;0
Nadege Essoh;0
Ines Nrehy;0
Sandrine Niamien;0
Ange N'Guessan;0
Rebecca Elloh;0
Ida Guehai;0
Fernande Tchetche;0
Josée Nahi;0
Christine Lohoues;0
Dominique Thiamale;0
Nadège Cissé;0
Binta Diakité;0
Jessica Aby;22
Aminata Haidara;0
Sophie Aguie;0
Raymonde Kacou;0
Cynthia Djohore;0
Ingrid Hjelmseth;0
Maria Thorisdottir;25
Marita Skammelsrud Lund;0
Gry Tofte Ims;0
Lisa-Marie Karlseng Utland;6
Maren Mjelde;18
Trine Rønning;14
Solveig Gulbrandsen;29
Isabell Herlovsen;12
Anja Sønstevold;0
Nora Holstad Berge;0
Silje Vesterbekkmo;0
Ingrid Moe Wold;0
Ingrid Schjelderup;0
Marit Sandvei;7
Elise Thorsnes;0
Lene Mykjåland;0
Melissa Bjånesøy;0
Kristine Minde;0
Emilie Haavi;14
Ada Hegerberg;399
Hege Hansen;27
Cecilie Fiskerstrand;0
Waraporn Boonsing;0
Darut Changplook;0
Natthakarn Chinwong;0
Duangnapa Sritala;0
Ainon Phancha;0
Pikul Khueanpet;0
Silawan Intamee;1
Naphat Seesraum;0
Warunee Phetwiset;0
Sunisa Srangthaisong;0
Alisa Rukpinij;0
Rattikan Thongsombut;0
Orathai Srimanee;0
Thanatta Chawong;0
Irravadee Makris;0
Khwanruedi Saengchan;0
Anootsara Maijarern;0
Yada Sengyong;0
Taneekarn Dangda;0
Wilaiporn Boothduang;0
Kanjana Sungngoen;0
Sukanya Chor Charoenying;0
Nisa Romyen;0
Annette Ngo Ndom;9
Christine Manie;0
Ajara Nchout;0
Yvonne Leuko;0
Augustine Ejangue;0
Francine Zouga;0
Gabrielle Onguene;8
Raissa Feudjio;9
Madeleine Ngono;0
Jeannette Yango;8
Aurelle Awona;8
Claudine Meffometou;0
Cathy Bou Ndjouh;0
Ninon Abena;0
Ysis Sonkeng;0
Thècle Mbororo;0
Gaëlle Enganamouit;7
Henriette Akaba;0
Agathe Ngani;0
Genevieve Ngo;0
Rose Bella;1439
Rita Wanki Awachwi;0
Flore Enyegue;0
Shirley Berruz;0
Katherine Ortíz;0
Nancy Aguilar;34
Merly Zambrano;0
Mayra Olvera;20
Angie Ponce;16
Ingrid Rodríguez;103
Erika Vásquez;0
Giannina Lattanzio;0
Ámbar Torres;0
Mónica Quinteros;0
Irene Tobar;0
Madelin Riera;0
Carina Caicedo;0
Ana Palacios;574
Ligia Moreira;0
Alexandra Salvador;172
Adriana Barré;0
Kerlly Real;0
Denise Pesántes;0
Mabel Velarde;17
Andrea Vera;553
Mariela Jácome;0
Miho Fukumoto;0
Yukari Kinga;0
Azusa Iwashimizu;0
Saki Kumagai;0
Aya Sameshima;0
Mizuho Sakaguchi;0
Kozue Ando;0
Aya Miyama;0
Nahomi Kawasumi;0
Homare Sawa;0
Shinobu Ohno;0
Megumi Kamionobe;0
Rumi Utsugi;0
Asuna Tanaka;0
Yuika Sugasawa;0
Mana Iwabuchi;0
Yūki Ōgimi;0
Ayumi Kaihori;0
Saori Ariyoshi;0
Yuri Kawamura;0
Erina Yamane;0
Asano Nagasato;0
