Name;Sum GoogleTrends
Jefferson;2251
Dani Alves;311
Thiago Silva;575
David Luiz;689
Fernandinho;386
Marcelo;1568
Hulk;2197
Paulinho;634
Fred;2362
Neymar;1049
Oscar;2047
Júlio César;26
Dante;1917
Maxwell;2269
Henrique;2113
Ramires;218
Luiz Gustavo;61
Hernanes;149
Willian;653
Bernard;2333
Jô;103
Victor;2154
Maicon;228
Loïc Feudjou;0
Benoît Assou-Ekotto;0
Nicolas Nkoulou;0
Cédric Djeugoué;0
Dany Nounkeu;0
Alex Song;94
Landry N'Guémo;0
Benjamin Moukandjo;0
Samuel Eto'o;23
Vincent Aboubakar;13
Jean Makoun;0
Henri Bedimo;2
Eric Maxim Choupo-Moting;0
Aurélien Chedjou;0
Pierre Webó;0
Charles Itandje;0
Stéphane Mbia;0
Eyong Enoh;0
Fabrice Olinga;0
Edgar Salli;0
Joël Matip;0
Allan Nyom;0
Sammy N'Djock;0
Stipe Pletikosa;32
Šime Vrsaljko;170
Danijel Pranjić;0
Ivan Perišić;309
Vedran Ćorluka;98
Dejan Lovren;603
Ivan Rakitić;325
Ognjen Vukojević;27
Nikica Jelavić;0
Luka Modrić;448
Darijo Srna;44
Oliver Zelenika;0
Gordon Schildenfeld;1
Marcelo Brozović;90
Milan Badelj;88
Ante Rebić;286
Mario Mandžukić;276
Ivica Olić;8
Sammir;4
Mateo Kovačić;121
Domagoj Vida;653
Eduardo;1205
Danijel Subašić;215
Jesús Corona;21
Francisco Javier Rodríguez;0
Carlos Salcido;19
Rafael Márquez;69
Diego Reyes;111
Héctor Herrera;54
Miguel Layún;45
Marco Fabián;5
Raúl Jiménez;15
Giovani dos Santos;210
Alan Pulido;16
Alfredo Talavera;10
Guillermo Ochoa;416
Javier Hernández;139
Héctor Moreno;13
Miguel Ángel Ponce;0
Isaác Brizuela;0
Andrés Guardado;37
Oribe Peralta;75
Javier Aquino;25
Carlos Peña;39
Paul Aguilar;9
José Juan Vázquez;0
Mathew Ryan;18
Ivan Franjic;0
Jason Davidson;7
Tim Cahill;205
Mark Milligan;17
Matthew Spiranovic;0
Mathew Leckie;26
Bailey Wright;0
Adam Taggart;0
Ben Halloran;0
Tommy Oar;1
Mitchell Langerak;1
Oliver Bozanic;0
James Troisi;0
Mile Jedinak;141
James Holland;40
Matt McKay;0
Eugene Galekovic;0
Ryan McGowan;0
Dario Vidošić;0
Massimo Luongo;5
Alex Wilkinson;0
Mark Bresciano;1
Claudio Bravo;83
Eugenio Mena;5
Miiko Albornoz;3
Mauricio Isla;56
Francisco Silva;102
Carlos Carmona;9
Alexis Sánchez;23
Arturo Vidal;182
Mauricio Pinilla;10
Jorge Valdivia;19
Eduardo Vargas;37
Cristopher Toselli;0
José Manuel Rojas;0
Fabián Orellana;0
Jean Beausejour;3
Felipe Gutiérrez;0
Gary Medel;34
Gonzalo Jara;1
José Pedro Fuenzalida;0
Charles Aránguiz;1
Marcelo Díaz;0
Esteban Paredes;19
Johnny Herrera;5
Jasper Cillessen;30
Ron Vlaar;2
Stefan de Vrij;25
Bruno Martins Indi;1
Daley Blind;163
Nigel de Jong;22
Daryl Janmaat;2
Jonathan de Guzmán;0
Robin van Persie;109
Wesley Sneijder;63
Arjen Robben;122
Paul Verhaegh;0
Joël Veltman;0
Terence Kongolo;0
Dirk Kuyt;15
Jordy Clasie;7
Jeremain Lens;2
Leroy Fer;29
Klaas-Jan Huntelaar;0
Georginio Wijnaldum;7
Memphis Depay;117
Michel Vorm;0
Tim Krul;16
Iker Casillas;384
Raúl Albiol;0
Gerard Piqué;244
Javi Martínez;0
Juanfran;28
Andrés Iniesta;76
David Villa;289
Xavi;486
Fernando Torres;491
Cesc Fàbregas;0
Pedro;1743
David de Gea;336
Juan Mata;107
Xabi Alonso;121
Sergio Ramos;340
Sergio Busquets;96
Koke;313
Jordi Alba;174
Diego Costa;429
Santi Cazorla;57
David Silva;303
César Azpilicueta;3
Pepe Reina;145
David Ospina;348
Cristián Zapata;6
Mario Yepes;21
Santiago Arias;134
Carlos Carbonero;1
Carlos Sánchez;363
Pablo Armero;9
Abel Aguilar;71
Teófilo Gutiérrez;0
James Rodríguez;591
Juan Cuadrado;338
Camilo Vargas;18
Fredy Guarín;0
Víctor Ibarbo;0
Alexander Mejía;0
Éder Álvarez Balanta;0
Carlos Bacca;179
Juan Camilo Zúñiga;1
Adrián Ramos;0
