Name;Sum GoogleTrends
Jefferson;2231
Dani Alves;103
Thiago Silva;389
David Luiz;259
Fernandinho;202
Marcelo;1437
Hulk;1915
Paulinho;416
Fred;2283
Neymar;916
Oscar;2040
Júlio César;4
Dante;1006
Maxwell;751
Henrique;728
Ramires;55
Luiz Gustavo;26
Hernanes;7
Willian;353
Bernard;1842
Jô;28
Victor;2165
Maicon;87
Loïc Feudjou;0
Benoît Assou-Ekotto;0
Nicolas Nkoulou;17
Cédric Djeugoué;0
Dany Nounkeu;25
Alex Song;1004
Landry N'Guémo;0
Benjamin Moukandjo;24
Samuel Eto'o;987
Vincent Aboubakar;441
Jean Makoun;96
Henri Bedimo;16
Eric Maxim Choupo-Moting;33
Aurélien Chedjou;12
Pierre Webó;0
Charles Itandje;49
Stéphane Mbia;9
Eyong Enoh;17
Fabrice Olinga;46
Edgar Salli;31
Joël Matip;8
Allan Nyom;26
Sammy N'Djock;8
Stipe Pletikosa;17
Šime Vrsaljko;19
Danijel Pranjić;0
Ivan Perišić;31
Vedran Ćorluka;18
Dejan Lovren;96
Ivan Rakitić;80
Ognjen Vukojević;1
Nikica Jelavić;0
Luka Modrić;162
Darijo Srna;17
Oliver Zelenika;0
Gordon Schildenfeld;0
Marcelo Brozović;22
Milan Badelj;33
Ante Rebić;74
Mario Mandžukić;80
Ivica Olić;4
Sammir;1
Mateo Kovačić;31
Domagoj Vida;90
Eduardo;1254
Danijel Subašić;57
Jesús Corona;11
Francisco Javier Rodríguez;0
Carlos Salcido;11
Rafael Márquez;48
Diego Reyes;77
Héctor Herrera;47
Miguel Layún;24
Marco Fabián;4
Raúl Jiménez;14
Giovani dos Santos;124
Alan Pulido;9
Alfredo Talavera;4
Guillermo Ochoa;296
Javier Hernández;87
Héctor Moreno;12
Miguel Ángel Ponce;0
Isaác Brizuela;0
Andrés Guardado;23
Oribe Peralta;45
Javier Aquino;13
Carlos Peña;18
Paul Aguilar;2
José Juan Vázquez;0
Mathew Ryan;23
Ivan Franjic;0
Jason Davidson;7
Tim Cahill;313
Mark Milligan;18
Matthew Spiranovic;0
Mathew Leckie;41
Bailey Wright;2
Adam Taggart;0
Ben Halloran;0
Tommy Oar;3
Mitchell Langerak;2
Oliver Bozanic;2
James Troisi;1
Mile Jedinak;199
James Holland;39
Matt McKay;0
Eugene Galekovic;0
Ryan McGowan;3
Dario Vidošić;0
Massimo Luongo;5
Alex Wilkinson;0
Mark Bresciano;1
Claudio Bravo;1310
Eugenio Mena;91
Miiko Albornoz;213
Mauricio Isla;793
Francisco Silva;1147
Carlos Carmona;175
Alexis Sánchez;317
Arturo Vidal;1289
Mauricio Pinilla;224
Jorge Valdivia;262
Eduardo Vargas;515
Cristopher Toselli;28
José Manuel Rojas;18
Fabián Orellana;9
Jean Beausejour;84
Felipe Gutiérrez;27
Gary Medel;483
Gonzalo Jara;91
José Pedro Fuenzalida;9
Charles Aránguiz;22
Marcelo Díaz;43
Esteban Paredes;266
Johnny Herrera;135
Jasper Cillessen;416
Ron Vlaar;64
Stefan de Vrij;323
Bruno Martins Indi;87
Daley Blind;325
Nigel de Jong;233
Daryl Janmaat;37
Jonathan de Guzmán;3
Robin van Persie;1269
Wesley Sneijder;878
Arjen Robben;1602
Paul Verhaegh;18
Joël Veltman;6
Terence Kongolo;144
Dirk Kuyt;305
Jordy Clasie;96
Jeremain Lens;106
Leroy Fer;339
Klaas-Jan Huntelaar;30
Georginio Wijnaldum;60
Memphis Depay;1282
Michel Vorm;39
Tim Krul;249
Iker Casillas;166
Raúl Albiol;0
Gerard Piqué;110
Javi Martínez;0
Juanfran;5
Andrés Iniesta;34
David Villa;119
Xavi;181
Fernando Torres;170
Cesc Fàbregas;0
Pedro;1742
David de Gea;211
Juan Mata;35
Xabi Alonso;43
Sergio Ramos;437
Sergio Busquets;48
Koke;177
Jordi Alba;89
Diego Costa;311
Santi Cazorla;20
David Silva;243
César Azpilicueta;3
Pepe Reina;65
David Ospina;184
Cristián Zapata;5
Mario Yepes;6
Santiago Arias;72
Carlos Carbonero;0
Carlos Sánchez;291
Pablo Armero;7
Abel Aguilar;40
Teófilo Gutiérrez;0
James Rodríguez;537
Juan Cuadrado;156
Camilo Vargas;8
Fredy Guarín;0
Víctor Ibarbo;0
Alexander Mejía;0
Éder Álvarez Balanta;0
Carlos Bacca;96
Juan Camilo Zúñiga;0
Adrián Ramos;0
Juan Fernando Quintero;161
Jackson Martínez;0
Faryd Mondragón;2
Carlos Valdés;0
Orestis Karnezis;132
Giannis Maniatis;15
Giorgos Tzavellas;7
Kostas Manolas;669
Vangelis Moras;7
Alexandros Tziolis;15
Georgios Samaras;170
Panagiotis Kone;91
Konstantinos Mitroglou;7
Giorgos Karagounis;31
Loukas Vyntra;18
Panagiotis Glykos;0
Stefanos Kapino;0
Dimitris Salpingidis;8
Vasilis Torosidis;22
Lazaros Christodoulopoulos;52
Theofanis Gekas;90
Giannis Fetfatzidis;7
Sokratis Papastathopoulos;359
José Holebas;0
Kostas Katsouranis;31
Andreas Samaris;64
Panagiotis Tachtsidis;7
Boubacar Barry;122
Ousmane Viera;0
Arthur Boka;172
Kolo Touré;413
Didier Zokora;550
Mathis Bolly;109
Jean-Daniel Akpa-Akpro;0
Salomon Kalou;446
Cheick Tioté;80
Gervinho;1708
Didier Drogba;932
Wilfried Bony;630
Didier Ya Konan;32
Ismaël Diomandé;0
Max Gradel;355
Sylvain Gbohouo;22
Serge Aurier;987
Constant Djakpa;33
Yaya Touré;1001
Serey Die;131
Giovanni Sio;235
Sol Bamba;314
Sayouba Mandé;0
Eiji Kawashima;50
Atsuto Uchida;1
Gōtoku Sakai;9
Keisuke Honda;340
Yuto Nagatomo;33
Masato Morishige;0
Yasuhito Endō;0
Hiroshi Kiyotake;0
Shinji Okazaki;41
Shinji Kagawa;177
Yoichiro Kakitani;0
Shusaku Nishikawa;0
Yoshito Ōkubo;0
Toshihiro Aoyama;0
Yasuyuki Konno;0
Hotaru Yamaguchi;12
Makoto Hasebe;56
Yuya Osako;65
Masahiko Inoha;0
Manabu Saitō;0
Hiroki Sakai;42
Maya Yoshida;32
Shūichi Gonda;0
Keylor Navas;395
Johnny Acosta;16
Giancarlo González;11
Michael Umaña;0
Celso Borges;34
Óscar Duarte;6
Christian Bolaños;16
David Myrie;0
Joel Campbell;126
Bryan Ruiz;184
Michael Barrantes;0
Waylon Francis;0
Esteban Granados;0
Randall Brenes;2
Júnior Díaz;0
Cristian Gamboa;25
Yeltsin Tejeda;11
Patrick Pemberton;4
Roy Miller;22
Diego Calvo;1
Marco Ureña;21
José Miguel Cubero;0
Daniel Cambronero;0
Joe Hart;40
Glen Johnson;0
Leighton Baines;0
Steven Gerrard;28
Gary Cahill;10
Phil Jagielka;0
Jack Wilshere;77
Frank Lampard;33
Daniel Sturridge;3
Wayne Rooney;126
Danny Welbeck;9
Chris Smalling;0
Ben Foster;18
