date,Name,Reference,isPartial
date,Erin McLeod,Canada football,isPartial
2018-06-08,5,28,False
2018-06-09,3,45,False
2018-06-10,3,66,False
2018-06-11,0,40,False
2018-06-12,2,41,False
2018-06-13,0,70,False
2018-06-14,0,84,False
2018-06-15,3,91,False
2018-06-16,0,74,False
2018-06-17,3,78,False
2018-06-18,2,69,False
2018-06-19,0,71,False
2018-06-20,0,39,False
2018-06-21,0,46,False
2018-06-22,0,55,False
2018-06-23,3,82,False
2018-06-24,6,76,False
2018-06-25,2,52,False
2018-06-26,0,53,False
2018-06-27,0,45,False
2018-06-28,0,51,False
2018-06-29,0,62,False
2018-06-30,0,74,False
2018-07-01,6,100,False
2018-07-02,0,45,False
2018-07-03,0,43,False
2018-07-04,0,40,False
2018-07-05,0,45,False
2018-07-06,0,59,False
date,Emily Zurrer,Canada football,isPartial
2018-06-08,0,28,False
2018-06-09,0,45,False
2018-06-10,0,66,False
2018-06-11,0,40,False
2018-06-12,0,41,False
2018-06-13,0,70,False
2018-06-14,0,84,False
2018-06-15,0,91,False
2018-06-16,0,74,False
2018-06-17,0,78,False
2018-06-18,0,69,False
2018-06-19,0,71,False
2018-06-20,0,39,False
2018-06-21,0,46,False
2018-06-22,0,55,False
2018-06-23,0,82,False
2018-06-24,0,76,False
2018-06-25,0,52,False
2018-06-26,0,53,False
2018-06-27,0,45,False
2018-06-28,0,51,False
2018-06-29,0,62,False
2018-06-30,0,74,False
2018-07-01,0,100,False
2018-07-02,0,45,False
2018-07-03,0,43,False
2018-07-04,0,40,False
2018-07-05,0,45,False
2018-07-06,0,59,False
date,Kadeisha Buchanan,Canada football,isPartial
2018-06-08,0,36,False
2018-06-09,3,40,False
2018-06-10,3,76,False
2018-06-11,3,50,False
2018-06-12,2,37,False
2018-06-13,0,77,False
2018-06-14,0,78,False
2018-06-15,0,100,False
2018-06-16,0,84,False
2018-06-17,0,82,False
2018-06-18,0,67,False
2018-06-19,0,71,False
2018-06-20,0,53,False
2018-06-21,0,54,False
2018-06-22,0,55,False
2018-06-23,0,83,False
2018-06-24,0,70,False
2018-06-25,0,51,False
2018-06-26,0,51,False
2018-06-27,0,57,False
2018-06-28,0,58,False
2018-06-29,0,49,False
2018-06-30,0,75,False
2018-07-01,0,97,False
2018-07-02,0,58,False
2018-07-03,0,54,False
2018-07-04,0,44,False
2018-07-05,0,48,False
2018-07-06,3,61,False
date,Carmelina Moscato,Canada football,isPartial
2018-06-08,0,28,False
2018-06-09,0,45,False
2018-06-10,0,66,False
2018-06-11,0,40,False
2018-06-12,2,41,False
2018-06-13,0,70,False
2018-06-14,0,84,False
2018-06-15,0,91,False
2018-06-16,0,74,False
2018-06-17,0,78,False
2018-06-18,0,69,False
2018-06-19,0,71,False
2018-06-20,0,39,False
2018-06-21,0,46,False
2018-06-22,0,55,False
2018-06-23,0,82,False
2018-06-24,0,76,False
2018-06-25,0,52,False
2018-06-26,0,53,False
2018-06-27,0,45,False
2018-06-28,0,51,False
2018-06-29,0,62,False
2018-06-30,0,74,False
2018-07-01,0,100,False
2018-07-02,0,45,False
2018-07-03,0,43,False
2018-07-04,0,40,False
2018-07-05,0,45,False
2018-07-06,0,59,False
date,Robyn Gayle,Canada football,isPartial
2018-06-08,0,28,False
2018-06-09,0,45,False
2018-06-10,0,66,False
2018-06-11,0,40,False
2018-06-12,2,41,False
2018-06-13,0,70,False
2018-06-14,0,84,False
2018-06-15,0,91,False
2018-06-16,0,74,False
2018-06-17,0,78,False
2018-06-18,0,69,False
2018-06-19,0,71,False
2018-06-20,0,39,False
2018-06-21,0,46,False
2018-06-22,0,55,False
2018-06-23,0,82,False
2018-06-24,0,76,False
2018-06-25,0,52,False
2018-06-26,0,53,False
2018-06-27,0,45,False
2018-06-28,0,51,False
2018-06-29,0,62,False
2018-06-30,0,74,False
2018-07-01,0,100,False
2018-07-02,0,45,False
2018-07-03,0,43,False
2018-07-04,0,40,False
2018-07-05,0,45,False
2018-07-06,0,59,False
date,Kaylyn Kyle,Canada football,isPartial
2018-06-08,0,28,False
2018-06-09,0,45,False
2018-06-10,0,66,False
2018-06-11,2,40,False
2018-06-12,0,41,False
2018-06-13,0,70,False
2018-06-14,5,84,False
