date,Name,Reference,isPartial
date,Jefferson,Brazil football,isPartial
2018-06-09,67,14,False
2018-06-10,64,31,False
2018-06-11,90,15,False
2018-06-12,86,14,False
2018-06-13,84,17,False
2018-06-14,80,25,False
2018-06-15,80,19,False
2018-06-16,100,27,False
2018-06-17,65,88,False
2018-06-18,77,27,False
2018-06-19,82,13,False
2018-06-20,75,11,False
2018-06-21,87,14,False
2018-06-22,80,62,False
2018-06-23,75,19,False
2018-06-24,68,13,False
2018-06-25,81,10,False
2018-06-26,85,13,False
2018-06-27,82,57,False
2018-06-28,84,24,False
2018-06-29,82,10,False
2018-06-30,70,18,False
2018-07-01,65,23,False
2018-07-02,82,78,False
2018-07-03,95,26,False
2018-07-04,80,15,False
2018-07-05,91,14,False
2018-07-06,82,77,False
2018-07-07,71,36,False
date,Dani Alves,Brazil football,isPartial
2018-06-09,3,15,False
2018-06-10,3,36,False
2018-06-11,2,16,False
2018-06-12,3,16,False
2018-06-13,2,19,False
2018-06-14,3,26,False
2018-06-15,4,23,False
2018-06-16,3,28,False
2018-06-17,13,100,False
2018-06-18,3,31,False
2018-06-19,2,14,False
2018-06-20,3,12,False
2018-06-21,3,16,False
2018-06-22,5,71,False
2018-06-23,3,23,False
2018-06-24,3,15,False
2018-06-25,2,11,False
2018-06-26,2,14,False
2018-06-27,7,63,False
2018-06-28,5,28,False
2018-06-29,3,12,False
2018-06-30,3,19,False
2018-07-01,5,28,False
2018-07-02,8,89,False
2018-07-03,4,26,False
2018-07-04,2,16,False
2018-07-05,3,16,False
2018-07-06,7,84,False
2018-07-07,4,43,False
date,Thiago Silva,Brazil football,isPartial
2018-06-09,4,15,False
2018-06-10,6,36,False
2018-06-11,4,17,False
2018-06-12,7,16,False
2018-06-13,4,19,False
2018-06-14,5,29,False
2018-06-15,10,22,False
2018-06-16,5,30,False
2018-06-17,62,100,False
2018-06-18,8,31,False
2018-06-19,4,15,False
2018-06-20,4,12,False
2018-06-21,6,16,False
2018-06-22,27,71,False
2018-06-23,17,22,False
2018-06-24,13,15,False
2018-06-25,9,11,False
2018-06-26,6,14,False
2018-06-27,61,65,False
2018-06-28,22,28,False
2018-06-29,9,12,False
2018-06-30,9,20,False
2018-07-01,14,27,False
2018-07-02,44,89,False
2018-07-03,15,30,False
2018-07-04,6,17,False
2018-07-05,8,16,False
2018-07-06,38,87,False
2018-07-07,16,40,False
date,David Luiz,Brazil football,isPartial
2018-06-09,4,15,False
2018-06-10,8,36,False
2018-06-11,5,17,False
2018-06-12,5,16,False
2018-06-13,4,19,False
2018-06-14,7,29,False
2018-06-15,8,22,False
2018-06-16,7,30,False
2018-06-17,45,100,False
2018-06-18,9,31,False
2018-06-19,6,15,False
2018-06-20,5,12,False
2018-06-21,5,16,False
2018-06-22,19,71,False
2018-06-23,8,22,False
2018-06-24,8,15,False
2018-06-25,5,11,False
2018-06-26,6,14,False
2018-06-27,30,65,False
2018-06-28,10,28,False
2018-06-29,5,12,False
2018-06-30,7,20,False
2018-07-01,6,27,False
2018-07-02,27,89,False
2018-07-03,9,30,False
2018-07-04,7,17,False
2018-07-05,5,16,False
2018-07-06,20,87,False
2018-07-07,11,40,False
date,Fernandinho,Brazil football,isPartial
2018-06-09,6,14,False
2018-06-10,8,32,False
2018-06-11,6,15,False
2018-06-12,5,14,False
2018-06-13,7,17,False
2018-06-14,8,25,False
2018-06-15,7,20,False
2018-06-16,8,27,False
2018-06-17,18,89,False
2018-06-18,5,28,False
2018-06-19,6,13,False
2018-06-20,5,11,False
2018-06-21,6,14,False
2018-06-22,9,63,False
2018-06-23,6,20,False
2018-06-24,7,13,False
2018-06-25,6,10,False
2018-06-26,5,13,False
2018-06-27,12,58,False
2018-06-28,6,25,False
2018-06-29,6,11,False
2018-06-30,6,18,False
2018-07-01,6,24,False
2018-07-02,15,80,False
2018-07-03,7,26,False
2018-07-04,6,16,False
2018-07-05,7,14,False
2018-07-06,100,78,False
2018-07-07,61,36,False
date,Marcelo,Brazil football,isPartial
2018-06-09,35,10,False
2018-06-10,42,23,False
2018-06-11,41,11,False
2018-06-12,45,10,False
2018-06-13,44,12,False
2018-06-14,41,17,False
2018-06-15,45,15,False
2018-06-16,42,18,False
2018-06-17,98,65,False
2018-06-18,43,21,False
2018-06-19,39,9,False
2018-06-20,36,8,False
2018-06-21,39,10,False
2018-06-22,61,47,False
2018-06-23,45,15,False
2018-06-24,39,10,False
2018-06-25,39,7,False
2018-06-26,40,9,False
2018-06-27,99,41,False
2018-06-28,100,18,False
2018-06-29,67,8,False
2018-06-30,51,13,False
2018-07-01,56,18,False
2018-07-02,82,58,False
2018-07-03,47,17,False
2018-07-04,46,11,False
