date,Name,Reference,isPartial
date,Jefferson,bonsai,isPartial
2018-06-21,89,25,False
2018-06-22,87,25,False
2018-06-23,73,28,False
2018-06-24,72,29,False
2018-06-25,86,26,False
2018-06-26,92,26,False
2018-06-27,86,23,False
2018-06-28,90,23,False
2018-06-29,89,26,False
2018-06-30,73,29,False
2018-07-01,70,28,False
2018-07-02,89,23,False
2018-07-03,100,25,False
2018-07-04,84,24,False
2018-07-05,96,23,False
2018-07-06,88,24,False
2018-07-07,72,27,False
2018-07-08,69,28,False
2018-07-09,92,25,False
2018-07-10,85,25,False
2018-07-11,81,22,False
2018-07-12,87,25,False
2018-07-13,86,27,False
2018-07-14,77,28,False
2018-07-15,70,31,False
2018-07-16,84,26,False
2018-07-17,84,24,False
2018-07-18,89,26,False
2018-07-19,91,23,False
date,Dani Alves,bonsai,isPartial
2018-06-21,8,81,False
2018-06-22,20,79,False
2018-06-23,7,89,False
2018-06-24,8,93,False
2018-06-25,10,83,False
2018-06-26,6,82,False
2018-06-27,20,75,False
2018-06-28,13,74,False
2018-06-29,8,84,False
2018-06-30,10,92,False
2018-07-01,14,90,False
2018-07-02,23,73,False
2018-07-03,15,79,False
2018-07-04,8,78,False
2018-07-05,8,74,False
2018-07-06,21,76,False
2018-07-07,12,87,False
2018-07-08,13,89,False
2018-07-09,6,80,False
2018-07-10,12,80,False
2018-07-11,12,72,False
2018-07-12,11,81,False
2018-07-13,9,88,False
2018-07-14,9,90,False
2018-07-15,14,100,False
2018-07-16,8,85,False
2018-07-17,6,78,False
2018-07-18,5,83,False
2018-07-19,4,74,False
date,Thiago Silva,bonsai,isPartial
2018-06-21,10,41,False
2018-06-22,41,40,False
2018-06-23,27,45,False
2018-06-24,18,47,False
2018-06-25,16,42,False
2018-06-26,9,42,False
2018-06-27,100,38,False
2018-06-28,36,38,False
2018-06-29,13,42,False
2018-06-30,13,47,False
2018-07-01,22,45,False
2018-07-02,63,37,False
2018-07-03,20,40,False
2018-07-04,11,40,False
2018-07-05,11,37,False
2018-07-06,63,38,False
2018-07-07,25,44,False
2018-07-08,15,45,False
2018-07-09,12,40,False
2018-07-10,10,41,False
2018-07-11,6,37,False
2018-07-12,5,41,False
2018-07-13,5,45,False
2018-07-14,6,45,False
2018-07-15,6,51,False
2018-07-16,6,43,False
2018-07-17,6,40,False
2018-07-18,5,42,False
2018-07-19,5,38,False
date,David Luiz,bonsai,isPartial
2018-06-21,15,82,False
2018-06-22,55,82,False
2018-06-23,27,93,False
2018-06-24,21,100,False
2018-06-25,16,89,False
2018-06-26,17,80,False
2018-06-27,89,77,False
2018-06-28,32,81,False
2018-06-29,15,82,False
2018-06-30,21,89,False
2018-07-01,20,91,False
2018-07-02,81,77,False
2018-07-03,28,78,False
2018-07-04,18,80,False
2018-07-05,16,79,False
2018-07-06,54,76,False
2018-07-07,34,93,False
2018-07-08,28,96,False
2018-07-09,15,81,False
2018-07-10,13,82,False
2018-07-11,14,75,False
2018-07-12,10,83,False
2018-07-13,9,87,False
2018-07-14,12,93,False
2018-07-15,13,97,False
2018-07-16,9,86,False
2018-07-17,7,83,False
2018-07-18,9,81,False
2018-07-19,11,79,False
date,Fernandinho,bonsai,isPartial
2018-06-21,5,25,False
2018-06-22,9,24,False
2018-06-23,7,27,False
2018-06-24,8,28,False
2018-06-25,6,25,False
2018-06-26,5,25,False
2018-06-27,11,23,False
2018-06-28,6,22,False
2018-06-29,5,25,False
2018-06-30,6,28,False
2018-07-01,7,27,False
2018-07-02,15,22,False
2018-07-03,6,24,False
2018-07-04,7,23,False
2018-07-05,8,22,False
2018-07-06,100,23,False
2018-07-07,60,26,False
2018-07-08,27,27,False
2018-07-09,16,24,False
2018-07-10,12,24,False
2018-07-11,10,22,False
2018-07-12,7,24,False
2018-07-13,8,27,False
2018-07-14,10,27,False
2018-07-15,12,30,False
2018-07-16,7,25,False
