Nation;Name;Age;Position;Wiki;Matches;
Canada;Erin McLeod;32;GK;https://en.wikipedia.org/wiki/Erin_McLeod;104;
Canada;Emily Zurrer;27;DF;https://en.wikipedia.org/wiki/Emily_Zurrer;82;
Canada;Kadeisha Buchanan;19;DF;https://en.wikipedia.org/wiki/Kadeisha_Buchanan;34;
Canada;Carmelina Moscato;31;DF;https://en.wikipedia.org/wiki/Carmelina_Moscato;91;
Canada;Robyn Gayle;29;DF;https://en.wikipedia.org/wiki/Robyn_Gayle;81;
Canada;Kaylyn Kyle;26;MF;https://en.wikipedia.org/wiki/Kaylyn_Kyle;95;
Canada;Rhian Wilkinson;33;DF;https://en.wikipedia.org/wiki/Rhian_Wilkinson;163;
Canada;Diana Matheson;31;MF;https://en.wikipedia.org/wiki/Diana_Matheson;166;
Canada;Josée Bélanger;29;FW;https://en.wikipedia.org/wiki/Jos%C3%A9e_B%C3%A9langer;29;
Canada;Lauren Sesselmann;31;DF;https://en.wikipedia.org/wiki/Lauren_Sesselmann;41;
Canada;Desiree Scott;27;MF;https://en.wikipedia.org/wiki/Desiree_Scott;89;
Canada;Christine Sinclair;31;FW;https://en.wikipedia.org/wiki/Christine_Sinclair;222;
Canada;Sophie Schmidt;26;MF;https://en.wikipedia.org/wiki/Sophie_Schmidt;131;
Canada;Melissa Tancredi;33;FW;https://en.wikipedia.org/wiki/Melissa_Tancredi;99;
Canada;Allysha Chapman;26;DF;https://en.wikipedia.org/wiki/Allysha_Chapman;11;
Canada;Jonelle Filigno;24;FW;https://en.wikipedia.org/wiki/Jonelle_Filigno;68;
Canada;Jessie Fleming;17;MF;https://en.wikipedia.org/wiki/Jessie_Fleming;15;
Canada;Selenia Iacchelli;29;MF;https://en.wikipedia.org/wiki/Selenia_Iacchelli;4;
Canada;Adriana Leon;22;FW;https://en.wikipedia.org/wiki/Adriana_Leon;33;
Canada;Marie-Ève Nault;33;DF;https://en.wikipedia.org/wiki/Marie-%C3%88ve_Nault;67;
Canada;Stephanie Labbé;28;GK;https://en.wikipedia.org/wiki/Stephanie_Labb%C3%A9;20;
Canada;Ashley Lawrence;19;MF;https://en.wikipedia.org/wiki/Ashley_Lawrence_(soccer);17;
Canada;Karina LeBlanc;35;GK;https://en.wikipedia.org/wiki/Karina_LeBlanc;110;
China PR;Zhang Yue;24;GK;https://en.wikipedia.org/wiki/Zhang_Yue_(footballer);48;
China PR;Liu Shanshan;23;DF;https://en.wikipedia.org/wiki/Liu_Shanshan;33;
China PR;Pang Fengyue;26;DF;https://en.wikipedia.org/wiki/Pang_Fengyue;50;
China PR;Li Jiayue;24;DF;https://en.wikipedia.org/wiki/Li_Jiayue;45;
China PR;Wu Haiyan;22;DF;https://en.wikipedia.org/wiki/Wu_Haiyan;50;
China PR;Li Dongna;26;DF;https://en.wikipedia.org/wiki/Li_Dongna;50;
China PR;Xu Yanlu;23;MF;https://en.wikipedia.org/wiki/Xu_Yanlu;27;
China PR;Ma Jun;26;MF;https://en.wikipedia.org/wiki/Ma_Jun_(footballer);50;
China PR;Wang Shanshan;25;DF;https://en.wikipedia.org/wiki/Wang_Shanshan;41;
China PR;Li Ying;22;FW;https://en.wikipedia.org/wiki/Li_Ying_(footballer);8;
China PR;Wang Shuang;20;MF;https://en.wikipedia.org/wiki/Wang_Shuang_(footballer);11;
China PR;Wang Fei;25;GK;https://en.wikipedia.org/wiki/Wang_Fei_(female_footballer);52;
China PR;Tang Jiali;20;MF;https://en.wikipedia.org/wiki/Tang_Jiali_(footballer);10;
China PR;Zhao Rong;23;FW;https://en.wikipedia.org/wiki/Zhao_Rong;14;
China PR;Lei Jiahui;19;MF;https://en.wikipedia.org/wiki/Lei_Jiahui;6;
China PR;Lou Jiahui;24;FW;https://en.wikipedia.org/wiki/Lou_Jiahui;45;
China PR;Gu Yasha;24;FW;https://en.wikipedia.org/wiki/Gu_Yasha;87;
China PR;Han Peng;25;MF;https://en.wikipedia.org/wiki/Han_Peng_(female_footballer);52;
China PR;Tan Ruyin;20;MF;https://en.wikipedia.org/wiki/Tan_Ruyin;8;
China PR;Zhang Rui;26;MF;https://en.wikipedia.org/wiki/Zhang_Rui_(footballer);60;
China PR;Wang Lisi;23;MF;https://en.wikipedia.org/wiki/Wang_Lisi;45;
China PR;Zhao Lina;23;GK;https://en.wikipedia.org/wiki/Zhao_Lina;0;
China PR;Ren Guixin;26;MF;https://en.wikipedia.org/wiki/Ren_Guixin;45;
Netherlands;Loes Geurts;29;GK;https://en.wikipedia.org/wiki/Loes_Geurts;103;
Netherlands;Desiree van Lunteren;22;MF;https://en.wikipedia.org/wiki/Desiree_van_Lunteren;21;
Netherlands;Stefanie van der Gragt;22;DF;https://en.wikipedia.org/wiki/Stefanie_van_der_Gragt;22;
Netherlands;Mandy van den Berg;24;DF;https://en.wikipedia.org/wiki/Mandy_van_den_Berg;57;
Netherlands;Petra Hogewoning;29;DF;https://en.wikipedia.org/wiki/Petra_Hogewoning;96;
Netherlands;Anouk Dekker;28;FW;https://en.wikipedia.org/wiki/Anouk_Dekker;38;
Netherlands;Manon Melis;28;FW;https://en.wikipedia.org/wiki/Manon_Melis;123;
Netherlands;Sherida Spitse;25;MF;https://en.wikipedia.org/wiki/Sherida_Spitse;104;
Netherlands;Vivianne Miedema;18;FW;https://en.wikipedia.org/wiki/Vivianne_Miedema;23;
Netherlands;Daniëlle van de Donk;23;MF;https://en.wikipedia.org/wiki/Dani%C3%ABlle_van_de_Donk;35;
Netherlands;Lieke Martens;22;MF;https://en.wikipedia.org/wiki/Lieke_Martens;49;
Netherlands;Dyanne Bito;33;DF;https://en.wikipedia.org/wiki/Dyanne_Bito;146;
Netherlands;Dominique Janssen;20;DF;https://en.wikipedia.org/wiki/Dominique_Janssen;6;
Netherlands;Anouk Hoogendijk;30;MF;https://en.wikipedia.org/wiki/Anouk_Hoogendijk;101;
Netherlands;Merel van Dongen;22;MF;https://en.wikipedia.org/wiki/Merel_van_Dongen;4;
Netherlands;Sari van Veenendaal;25;GK;https://en.wikipedia.org/wiki/Sari_van_Veenendaal;13;
Netherlands;Tessel Middag;22;MF;https://en.wikipedia.org/wiki/Tessel_Middag;24;
Netherlands;Maran van Erp;24;DF;https://en.wikipedia.org/wiki/Maran_van_Erp;1;
Netherlands;Kirsten van de Ven;30;FW;https://en.wikipedia.org/wiki/Kirsten_van_de_Ven;82;
Netherlands;Jill Roord;18;MF;https://en.wikipedia.org/wiki/Jill_Roord;5;
Netherlands;Vanity Lewerissa;24;MF;https://en.wikipedia.org/wiki/Vanity_Lewerissa;4;
Netherlands;Shanice van de Sanden;22;FW;https://en.wikipedia.org/wiki/Shanice_van_de_Sanden;15;
Netherlands;Angela Christ;26;GK;https://en.wikipedia.org/wiki/Angela_Christ;13;
